Title	Author	Playlist	Language
30 Days of Yoga	Yoga With Adriene	https://www.youtube.com/watch?v=TXU591OYOHA&list=PLui6Eyny-UzwxbWCWDbTzEwsZnnROBTIL	en
30-Day Yoga Challenge with Erin Motz	DOYOUYOGA.com	https://www.youtube.com/watch?v=_wJtQjQ4HI8&list=PLcjgXQkHWH453km2BpJqYHzmkUkkjH5IB	en
Cosmic Kids Yoga Adventures!	Cosmic Kids Yoga	https://www.youtube.com/watch?v=R-BS87NTV5I&list=PL8snGkhBF7njTT4a7uqDiUB1qPBI4ZOBL	en
Yoga For Weight Loss	Yoga With Adriene	https://www.youtube.com/watch?v=Ci3na6ThUJc&list=PLui6Eyny-Uzx2jQYA8MS73ND2kUMHyII8	en
Foundations of Yoga	Yoga With Adriene	https://www.youtube.com/watch?v=zLvJD7iKVhw&list=PLui6Eyny-UzyugJTu3l1YFL0k3nGIlaz9	en
Beginner Yoga With Tara Stiles	LivestrongWoman	https://www.youtube.com/watch?v=zEza-w025Lk&list=PLEC7D48A0D649DD3B	en
Yoga For Beginners	Yoga With Adriene	https://www.youtube.com/watch?v=OQ6NfFIr2jw&list=PLui6Eyny-UzzWwB4h9y7jAzLbeuCUczAl	en
Yoga w/ Courtney Bell - Offical Playlist	PsycheTruth	https://www.youtube.com/watch?v=WfzS2Ov6_1o&list=PLvP8YsX0ebXZBNfbQzyF4LxdemdPZoU1B	en
Yoga Fix 90	Fightmaster Yoga	https://www.youtube.com/watch?v=ArZDT5zXSR0&list=PLEs9dX8UXFZpDzmM8UKQXWp6Ss0lkopIX	en
Yoga for Beginners	KinoYoga	https://www.youtube.com/watch?v=lDC7fcPemHo&list=PL508C30656B253DBF	en
Jen Hilman Yoga Videos; Psychetruth	PsycheTruth	https://www.youtube.com/watch?v=mh9jHxbUUyw&list=PLvP8YsX0ebXbcTf1Gunhj3sfNmVT9yGFY	en
The Yoga Solution	LivestrongWoman	https://www.youtube.com/watch?v=SscLTBKpWaI&list=PLFECD810F5D7EDA38	en
Bikram Yoga 26 Poses in Sequence	BikramWestshore's channel	https://www.youtube.com/watch?v=XGO5EVFWsJ8&list=PLEhijnzesDisRUhqaKkVRjKeazXdlEuga	en
Hot BIKINI YOGA Routines by Yoga Girl	YoBoHoFitness	https://www.youtube.com/watch?v=E2B76oNx_3Q&list=PLE90C9A8B297A4802	en
Yoga w/ Erica Vetra	PsycheTruth	https://www.youtube.com/watch?v=vzORsEyn3_I&list=PLvP8YsX0ebXbZHJSMz1iyfmd5LEgKGRYB	en
